id,full_name,profession,license_number,authority,status,province,trust_score,identity_verified,risk_level
816a1e58-8fc8-497a-8acb-e03fe2f1b6a2,"Sipho Botha",Attorney,LP687091,LPC,Practising,Eastern Cape,93,true,Low
226116dd-4d12-40c7-95aa-392c5344b7f7,"Kevin Molefe",Advocate,LP744705,LPC,Practising,Northern Cape,94,true,Low
396a2a2e-d828-42c8-a809-ab4e63ab12fc,"Sarah Smit",Attorney,LP598550,LPC,Practising,Northern Cape,93,true,Low
05107ce7-78db-4251-9af3-b17e95d0d60c,"Nomsa Muller",Specialist,MP857880,HPCSA,Struck Off,Gauteng,20,false,Critical
5e28c21d-1ae3-4e17-82b9-6104b769eca4,"Thabo Khuma",Nurse,REG58177,SANC,Suspended,KwaZulu-Natal,49,true,Medium
2b3f7a0d-6961-4115-abb4-4e2948fc6c68,"Musa Botha",Attorney,LP165153,LPC,Struck Off,Limpopo,1,false,Critical
18611a98-6c19-4fbd-8826-6f293823c5a6,"Tumi Khuma",Psychologist,MP610845,HPCSA,Suspended,Limpopo,41,true,Medium
6b9ada18-a7fc-46d1-8146-323d8318f161,"Sipho Dlamini",Attorney,LP996930,LPC,Practising,Mpumalanga,97,true,Low
3b17187a-9940-430e-b60c-5fa9a4df4f88,"Jane Molefe",Specialist,MP783742,HPCSA,Active,Limpopo,98,true,Low
7375d4b9-2ab6-4408-aeee-7f0368524354,"Kevin Dlamini",Nurse,REG43062,SANC,Active,North West,95,true,Low
ae371bcb-4606-4166-b083-6018b34d3514,"Tumi Khuma",Specialist,MP501411,HPCSA,Suspended,Eastern Cape,52,true,Medium
ed5853f1-a290-4aee-9a33-f75ce7edf977,"Chris Muller",Advocate,LP434384,LPC,Good Standing,Western Cape,90,true,Low
be9ade8c-bc22-4c6a-a0f6-24b8537b36e6,"Nomsa Molefe",Advocate,LP637469,LPC,Good Standing,Eastern Cape,100,true,Low
e100121b-641d-47b4-a955-75257b4de567,"John Muller",Advocate,LP746251,LPC,Practising,North West,98,true,Low
99520b88-26a2-4bcd-b343-ec8e4117e3fa,"Thabo Smith",Advocate,LP757885,LPC,Practising,Free State,95,true,Low
5bfd31c0-2d7b-4428-85f3-31736150a042,"Jane Smit",Doctor,MP903502,HPCSA,Struck Off,Northern Cape,22,false,Critical
db0eb212-227e-4f4f-8ebf-1757dce3fcad,"Chris Smith",Doctor,MP854131,HPCSA,Practising,Free State,94,true,Low
83924023-97df-43d2-9963-72867b0c9b2e,"Lindiwe Smith",Advocate,LP944575,LPC,Good Standing,North West,93,true,Low
76349a5e-951b-41f3-8a35-fe49fac7e1f4,"Chris Khuma",Doctor,MP425008,HPCSA,Suspended,Mpumalanga,44,true,Medium
3f5d68ad-7217-4069-b74d-4cd08d3b0d30,"John Zuma",Nurse,REG44271,SANC,Active,Western Cape,91,true,Low
f3554793-c554-4593-8bb0-6ae3f9cd2616,"Sarah Ndlovu",Specialist,MP332988,HPCSA,Suspended,Gauteng,56,true,Medium
61438ab5-d8be-45e1-bcf9-5540b2abc189,"Sipho Botha",Attorney,LP923206,LPC,Active,Mpumalanga,98,true,Low
8c07fdf4-092a-422a-9a05-fc5ba09d10fa,"Lerato Smith",Doctor,MP360967,HPCSA,Struck Off,Western Cape,28,false,Critical
cb2a2c3f-3563-49e7-9448-67fbe486eba7,"Sipho Muller",Advocate,LP993862,LPC,Practising,Mpumalanga,100,true,Low
132a6c9a-7ecf-421f-9c9b-aa67b5168389,"Chris Smit",Advocate,LP983148,LPC,Good Standing,Mpumalanga,93,true,Low
24e50c60-ce1e-4397-b7b8-5eb03aad2d91,"Lerato Dlamini",Advocate,LP551398,LPC,Good Standing,Gauteng,92,true,Low
ae42ed20-38d8-4e02-9d62-40bd30e054d3,"Kevin Zuma",Psychologist,MP506350,HPCSA,Good Standing,Northern Cape,98,true,Low
7fc691ef-21f7-4e68-babe-f2af46b027fe,"Jane Muller",Attorney,LP435174,LPC,Practising,North West,91,true,Low
4721582a-6920-4672-9313-5fd2bcf77e44,"Nomsa Grootboom",Advocate,LP180127,LPC,Active,KwaZulu-Natal,99,true,Low
f4c330ba-322d-4549-8217-4777c3f27964,"Nomsa Dlamini",Attorney,LP570388,LPC,Suspended,Limpopo,58,true,Medium
